766192484,8
766192485,4
766192486,8
766192487,8
766192488,8
766192489,0
766192490,8
766192491,8
766192492,8
766192493,8
766192494,4
766192495,8
766192496,8
766192497,4
766192498,8
766192499,8
766192500,8
766192501,6
766192502,8
766192503,8
766192504,3
766192505,4
766192506,8
766192507,4
766192508,3
766192509,8
766192510,8
766192511,3
766192512,8
766192513,8
766192514,8
766192515,8
766192516,8
766192517,8
766192518,3
766192519,8
766192520,8
766192521,4
766192522,8
766192523,8
766192524,8
766192525,8
766192526,8
766192527,8
766192528,3
766192529,8
766192530,8
766192531,8
766192532,8
766192533,3
766192534,8
766192535,8
766192536,8
766192537,8
766192538,8
766192539,8
766192540,8
766192541,3
766192542,8
766192543,8
766192544,8
766192545,6
766192546,8
766192547,8
766192548,8
766192549,8
766192550,8
766192551,8
766192552,8
766192553,8
766192554,8
766192555,8
766192556,8
766192557,6
766192558,4
766192559,3
766192560,8
766192561,8
766192562,8
766192563,8
766192564,8
766192565,8
766192566,3
766192567,0
766192568,8
766192569,8
766192570,8
766192571,8
766192572,8
766192573,4
766192574,8
766192575,8
766192576,8
766192577,8
766192578,8
766192579,8
766192580,8
766192581,8
766192582,8
766192583,3
766192585,5
766192586,8
766192587,8
766192588,4
766192589,3
766192590,3
766192591,8
766192592,8
766192593,3
766192594,8
766192595,8
766192596,3
766192597,8
766192598,3
766192599,8
766192600,8
766192601,8
766192602,8
766192603,8
766192604,8
766192605,8
766192606,8
766192607,8
766192608,8
766192609,8
766192610,8
766192611,8
766192612,8
766192613,8
766192614,3
766192615,8
766192616,8
766192617,4
766192618,4
766192619,8
766192620,8
766192621,8
766192622,3
766192623,8
766192624,8
766192625,8
766192626,8
766192627,8
766192628,8
766192629,8
766192630,3
766192631,8
766192632,8
766192633,3
766192634,8
766192635,3
766192636,8
766192637,8
766192638,4
766192639,4
766192640,8
766192641,8
766192642,3
766192643,6
766192644,8
766192645,3
766192646,8
766192647,8
766192648,8
766192649,8
766192650,3
766192651,8
766192652,8
766192653,8
766192654,8
766192655,4
766192656,8
766192657,8
766192658,8
766192659,8
766192660,8
766192661,8
766192662,8
766192663,8
766192664,8
766192665,8
766192666,4
766192667,0
766192668,8
766192669,4
766192670,8
766192671,8
766192672,8
766192673,8
766192674,3
766192675,8
766192676,8
766192677,8
766192678,8
766192679,8
766192680,8
766192681,4
766192682,8
766192683,8
766192684,8
766192685,8
766192686,8
766192687,4
766192688,4
766192689,8
766192690,1
766192691,8
766192692,8
766192693,8
766192694,8
766192695,8
766192696,8
766192697,4
766192698,8
766192699,8
766192700,8
766192701,8
766192702,8
766192703,8
766192704,8
766192705,8
766192706,8
766192707,8
766192708,8
766192709,4
766192710,8
766192711,8
766192712,8
766192713,8
766192714,8
766192715,8
766192716,8
766192717,8
766192718,8
766192719,8
766192720,1
766192721,8
766192722,8
766192723,8
766192724,8
766192725,8
766192726,8
766192727,4
766192728,8
766192729,8
766192730,4
766192731,8
766192732,4
766192733,8
766192734,8
766192735,8
766192736,0
766192737,3
766192738,8
766192739,8
766192740,8
766192741,8
766192742,0
766192743,8
766192744,8
766192745,3
766192746,8
766192747,8
766192748,8
766192749,8
766192750,8
766192751,8
766192752,8
766192753,8
766192754,3
766192755,7
766192756,8
766192757,8
766192758,8
766192759,6
766192760,8
766192761,8
766192762,8
766192763,8
766192764,4
766192765,8
766192766,8
766192767,8
766192768,0
766192769,8
766192770,8
766192771,8
766192772,4
766192773,2
766192774,3
766192775,8
766192776,8
766192777,3
766192778,6
766192779,8
766192780,8
766192781,8
766192782,8
766192783,3
766192784,8
766192785,8
766192786,8
766192787,8
766192788,8
766192789,8
766192790,3
766192791,8
766192792,8
766192793,8
766192794,3
766192795,8
766192796,8
766192797,8
766192798,8
766192799,8
766192800,8
766192801,3
766192802,8
766192803,8
766192804,8
766192805,3
766192806,4
766192807,8
766192808,8
766192809,8
766192810,8
766192811,3
766192812,8
766192813,8
766192814,8
766192815,8
766192816,8
766192817,4
766192818,0
766192819,9
766192820,6
766192821,8
766192822,8
766192823,8
766192824,8
766192825,8
766192826,8
766192827,8
766192828,8
766192829,8
